"gap","timeEff","durEff","diamonds","totalBlocks","complete","completeEff"
9,50.7965407373691,0.395578974424881,31,3078,0.258333333333333,0.423304506144743
10,76.4368951214695,0.262762901880849,43,2836,0.358333333333333,0.636974126012246
11,37.1436329079555,0.536590480184525,19,2559,0.158333333333333,0.309530274232962
12,87.378640776699,0.225828393742105,41,2324,0.341666666666667,0.728155339805825
13,65.4109381624372,0.307038512616202,30,2312,0.25,0.545091151353643
14,91.7443498088659,0.216292723841476,38,2063,0.316666666666667,0.764536248407216
15,60.538795277974,0.327171314741036,25,2053,0.208333333333333,0.504489960649783
16,31.0868626604388,0.646504889532778,11,1785,0.0916666666666667,0.25905718883699
17,31.9612590799031,0.647229264759145,11,1787,0.0916666666666667,0.26634382566586
18,115.69362613819,0.171978751660027,36,1554,0.3,0.96411355115158
19,62.2214136268535,0.323338226043196,19,1542,0.158333333333333,0.518511780223779
20,50.4413619167718,0.40796812749004,15,1536,0.125,0.420344682639765
0,28.2750672301191,0.705698943357007,184,32592,1,0.153668843641952
1,50.9038567376487,0.391249373762435,167,16400,0.907608695652174,0.276651395313308
2,73.8357411134327,0.26902390438247,160,10804,0.869565217391304,0.401281201703439
3,89.0381771238062,0.22229998923226,148,8258,0.804347826086957,0.483903136542425
4,76.3987138263666,0.259245844903215,99,6442,0.53804347826087,0.415210401230253
5,99.1027732463295,0.200236092666372,108,5428,0.58695652173913,0.538602028512661
6,74.9743391398777,0.263460443938532,70,4629,0.380434782608696,0.407469234455857
7,81.6796478157806,0.245109115775703,67,4122,0.364130434782609,0.44391112943359
8,85.4190585533869,0.231911065415756,62,3609,0.33695652173913,0.464234013877103
9,91.4234796168412,0.216816942755295,57,3102,0.309782608695652,0.49686673704805
10,52.8802604842461,0.373970783532536,30,2816,0.16304347826087,0.287392720023077
11,125.980911983033,0.156947965712906,66,2600,0.358695652173913,0.684678869473005
12,67.1682214866085,0.297134044467292,31,2312,0.168478260869565,0.365044681992437
13,30.3504757316633,0.653955606146841,14,2298,0.0760869565217391,0.164948237672083
14,83.5156094651024,0.23494593056346,35,2064,0.190217391304348,0.453889181875557
15,60.9467054919753,0.327330677290837,25,2054,0.135869565217391,0.331232095065083
16,102.594870256487,0.190186621933319,38,1814,0.206521739130435,0.557580816611343
17,99.5506394745939,0.200088534749889,36,1808,0.195652173913043,0.541036084101054
18,52.7907616167171,0.382470119521912,16,1536,0.0869565217391304,0.286906313134332
19,97.8818576503092,0.199717259992289,31,1554,0.168478260869565,0.531966617664724
20,87.8661087866109,0.220688673875925,28,1551,0.152173913043478,0.477533199927233
0,23.1607717666565,0.87173453835664,149,32602,1,0.155441421252728
1,34.6707482759214,0.581780022766079,112,16355,0.751677852348993,0.232689585744439
2,48.8383924029167,0.411929206251915,104,10753,0.697986577181208,0.327774445657159
3,58.8942000460111,0.340844953519256,96,8213,0.644295302013423,0.395263087557121
4,65.2865024307642,0.308308932942927,83,6423,0.557046979865772,0.438164445844055
